uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
103.29110,right,-0.02173,-0.00028,0.01380,0.00440,-0.00708,-0.00069,-0.03526,-0.00148,0.00504,-0.00270,-0.00483,-0.00031,-0.02877,-0.04732,-0.02795,0.01334,0.00158,0.00513,0.22289,1.16555,0.38947,-0.05100,-0.98858,0.01780,0.11919,1.55729,0.56871,0.04952,0.91110,-0.06822,-0.09085,1.13438,0.36808,-0.08123,0.99330,0.04684
103.49990,,-0.02889,0.02881,0.02389,-0.00221,-0.00554,0.00027,-0.02238,-0.00130,0.00879,0.00029,-0.00405,0.00194,-0.02112,-0.03550,-0.01206,-0.00074,0.00120,-0.00075,0.19399,1.19437,0.41336,-0.05896,-0.98771,-0.00301,0.09681,1.55599,0.57749,0.04082,0.87786,-0.06955,-0.11198,1.09888,0.35602,-0.05881,0.99718,0.01057
103.70830,,0.00795,0.00649,0.01421,0.00092,-0.00059,0.00071,0.00066,-0.00038,0.01097,-0.00055,-0.00077,0.00020,0.01234,-0.01469,0.00248,-0.00106,-0.00119,0.00070,0.20195,1.20086,0.42757,-0.05884,-0.98301,-0.01043,0.09747,1.55561,0.58846,0.04866,0.85539,-0.06515,-0.09964,1.08419,0.35851,-0.05075,0.99853,-0.00554
103.91620,,0.01782,-0.00732,0.00045,-0.00081,0.00143,0.00158,0.01931,-0.00332,0.00451,0.00002,0.00024,-0.00073,0.01441,-0.00544,0.00271,0.00090,0.00156,0.00154,0.21977,1.19353,0.42801,-0.05729,-0.98283,-0.00735,0.11678,1.55229,0.59297,0.04753,0.85465,-0.06188,-0.08523,1.07875,0.36122,-0.04815,0.99859,-0.00890
104.12450,,0.04146,-0.02317,-0.00575,0.00309,-0.00110,0.00392,0.04689,-0.00011,0.01411,0.00116,-0.00388,-0.00066,0.00994,0.01751,0.01878,-0.00105,0.00712,-0.01664,0.26122,1.17036,0.42226,-0.06295,-0.98404,0.03063,0.16367,1.55218,0.60708,0.04263,0.84627,-0.06183,-0.07529,1.09625,0.38000,-0.07169,0.99343,-0.00602
104.33290,,0.01897,-0.01604,-0.00030,0.00128,0.00091,-0.00338,0.03430,0.00031,0.00857,0.00181,0.00166,-0.00019,0.01976,0.03425,0.02740,-0.00031,-0.00039,-0.00353,0.28019,1.15433,0.42196,-0.05331,-0.98685,0.04342,0.19797,1.55249,0.61565,0.04619,0.83709,-0.07518,-0.05553,1.13051,0.40740,-0.05530,0.99410,0.04061
104.54110,,-0.00778,0.00627,-0.00675,-0.00095,-0.00016,0.00063,0.00434,-0.00218,0.00118,0.00072,0.00047,-0.00017,-0.00038,0.01352,0.00240,0.00052,-0.00025,-0.00016,0.27241,1.16060,0.41521,-0.06486,-0.98846,0.03224,0.20232,1.55032,0.61683,0.05256,0.84160,-0.07050,-0.05591,1.14403,0.40980,-0.05617,0.99309,0.05620
104.74950,,-0.01864,0.00143,0.00055,-0.00321,-0.00062,0.00133,-0.02743,-0.00640,0.00143,0.00019,0.00003,-0.00027,-0.02445,-0.01999,-0.01270,0.00572,-0.00168,0.00099,0.25377,1.16203,0.41576,-0.07076,-0.98615,0.01761,0.17489,1.54391,0.61826,0.05877,0.83994,-0.06618,-0.08037,1.12404,0.39710,-0.05816,0.99447,0.04877
104.95740,,-0.04101,0.02591,0.00468,-0.00487,0.00853,-0.01144,-0.04155,0.00528,-0.00059,-0.00044,-0.00010,-0.00024,-0.01857,-0.02279,-0.01855,-0.00072,-0.00407,0.01069,0.21276,1.18794,0.42043,-0.07589,-0.98360,-0.01757,0.13334,1.54919,0.61767,0.06685,0.83206,-0.06047,-0.09893,1.10125,0.37855,-0.02027,0.99923,0.02474
105.16580,,-0.01557,0.00823,0.00372,-0.00255,-0.00042,0.00024,-0.01678,0.00182,-0.00165,-0.00006,-0.00161,0.00035,-0.02074,-0.00367,-0.00509,0.00084,-0.00065,0.00008,0.19719,1.19617,0.42415,-0.07761,-0.98350,-0.01827,0.11656,1.55102,0.61601,0.07258,0.82611,-0.06116,-0.11967,1.09758,0.37346,-0.02953,0.99889,0.00506
